,precision,recall,f1-score,support
Bacterial_spot,0.9549418604651163,0.8975409836065574,0.9253521126760563,732.0
Early_blight,0.8892561983471075,0.8367029548989113,0.8621794871794872,643.0
Late_blight,0.8868613138686131,0.9204545454545454,0.9033457249070632,792.0
Leaf_Mold,0.9336099585062241,0.9133964817320703,0.9233926128590971,739.0
Septoria_leaf_spot,0.8335451080050826,0.8793565683646113,0.8558382257012394,746.0
Spider_mites Two-spotted_spider_mite,0.916243654822335,0.8298850574712644,0.8709288299155609,435.0
Target_Spot,0.8278301886792453,0.7680525164113785,0.7968217934165721,457.0
Tomato_Yellow_Leaf_Curl_Virus,0.985655737704918,0.9658634538152611,0.9756592292089249,498.0
Tomato_mosaic_virus,0.9528795811518325,0.934931506849315,0.9438202247191011,584.0
healthy,0.8501070663811563,0.986335403726708,0.9131684876365728,805.0
powdery_mildew,0.9183673469387755,0.8928571428571429,0.9054325955734407,252.0
accuracy,0.8997456232231034,0.8997456232231034,0.8997456232231034,0.8997456232231034
macro avg,0.9044816377154915,0.8932160559261604,0.8978126657993741,6683.0
weighted avg,0.9015342101748826,0.8997456232231034,0.8995020174706366,6683.0
